cluster_id,firing_rate,presence_ratio,isi_viol,num_viol,amplitude_cutoff,isolation_distance,contam_rate,l_ratio,d_prime,nn_hit_rate,nn_miss_rate,silhouette_score,max_drift,cumulative_drift,epoch_name_quality_metrics,epoch_name_waveform_metrics,peak_channel,snr,duration,halfwidth,PT_ratio,repolarization_slope,recovery_slope,amplitude,spread,velocity_above,velocity_below
0,3.023400233722668,0.99,1.0,47.0,0.5,53.830140485970574,11.166154547189912,0.0005642091598170442,5.383878747947811,0.9897292250233427,0.00024197172387569566,0.17494861068120834,7.64,62.24,complete_session,complete_session,0,1.6902915495680038,0.7142378559463987,0.2472361809045226,0.3084361325572667,0.3094070210182622,-0.030680395451121,136.02584328694908,45.0,0.9156895589056404,
1,3.622128015965374,0.99,1.0,254.0,0.5,78.60815631034008,60.321348174490375,0.0006772936376674317,4.970276446583836,0.9815837937384899,0.00010184336490477646,0.1477646454883683,21.82,63.97,complete_session,complete_session,0,0.9704442463782976,0.7829145728643216,0.4395309882747069,1.8699969290168128,0.1422650714779065,-0.0136646344704722,86.27352507218072,225.0,0.7971885571649093,
2,14.854838930628414,0.99,0.009278449394814536,17.0,0.007267775342498996,142.82468073714202,1.5226268638212022,1.3080242085532543e-08,-9.307072673359839,1.0,0.00012354830738818879,0.4235801378177975,1.82,15.62,complete_session,complete_session,1,6.899777205952154,0.9614740368509213,0.1373534338358459,0.1302930667657944,1.6587005996066462,-0.0430772258651778,549.3652832520021,30.0,0.9156895589056404,
4,46.234652184457,0.99,0.004710953943964646,84.0,0.08343055992948756,178.5578945827112,2.772659627460663,7.43978227042168e-05,6.085697207044816,0.998,0.007575757575757576,0.10031900218857515,3.33,28.58,complete_session,complete_session,2,1.6484213495331412,0.3021775544388609,0.1510887772194304,0.3589109537520524,0.5348439551625587,-0.0611800955052182,120.95383440360143,60.0,0.274706867671692,0.0
5,5.684412599245804,0.99,1.0,70.0,0.5,114.94892476075385,16.378845695763257,0.001331863925551488,-5.711000098594395,0.9813333333333333,0.0034169033798526205,0.07178300740187327,3.73,41.32,complete_session,complete_session,3,1.7924147600526392,0.7691792294807371,0.2609715242881072,0.424606675807297,0.2753471413422831,-0.0326949868867528,137.2161865234375,60.0,1.8313791178112797,0.9156895589056367
6,1.6911433849311508,0.99,1.0,7.0,0.5,42.68996542561443,3.235059760956175,0.010257972136484892,-4.15534214256432,0.6798941798941799,0.0009790020930389575,0.07178300740187327,5.49,50.84,complete_session,complete_session,5,1.7000018047153085,0.6180904522613064,0.2472361809045226,0.3642605206392426,0.3487499621160774,-0.0423362132802163,144.57149782042575,90.0,0.7325516471245123,0.4578447794528184
7,0.7077067426070577,0.96,0.0,0.0,0.01222884049063264,136.3279121848695,0.0,4.477895127146372e-09,11.868202545447081,0.9807692307692307,0.00010052271813429835,0.30418457666448906,3.8,34.24,complete_session,complete_session,5,2.4086166854549416,0.700502512562814,0.2060301507537689,0.2487591290134485,0.7186144750568015,-0.0634127731983839,231.45734600732,75.0,0.5494137353433831,0.4578447794528201
8,0.015318327762057526,0.29,0.0,0.0,0.5,30456983919294.996,1.0,,4.168041910490253,,0.0,,,0.0,complete_session,complete_session,7,1.4040671026472311,0.6043551088777219,0.2884422110552764,0.4044602844331071,0.2198802486540629,-0.0119498724317596,104.23932756696428,225.0,1.604972358741203,0.2747068676716921
9,4.833151242182893,0.99,1.0,104.0,0.5,59.75285614865805,32.314221907698034,0.008688530735257096,3.615993498218088,0.9008674101610905,0.001986777652176892,0.07287067303010585,4.99,55.0,complete_session,complete_session,6,1.2370828475598064,0.631825795644891,0.3571189279731994,0.4097203076548146,0.2358384190510964,-0.0247686587849009,105.74042602936686,180.0,0.6271086070081047,0.9156895589056392
10,0.28929756144914354,0.96,1.0,1.0,0.5,34.79347863080352,1.3860348081358778,0.013496202011686291,3.9230065758278903,0.14583333333333334,0.0006009615384615385,0.06019693349792352,14.74,108.06,complete_session,complete_session,6,1.7327669672480714,0.3159128978224455,0.164824120603015,0.2884240870063181,0.6367841528789138,-0.0524674596956895,146.30662511228252,150.0,0.2398234559038582,-0.274706867671692
11,0.31949655046577125,0.99,0.0,0.0,0.5,41.11425379359601,2.423638778220451,0.008192966447314485,4.485959924260529,0.16666666666666666,0.00030048076923076925,0.04440019003716161,8.08,73.26,complete_session,complete_session,9,2.291560164554581,0.7417085427135679,0.164824120603015,0.1850930750346706,0.6767000948673596,-0.0333497958742996,188.76062680597173,75.0,0.0,-1.3735343383584602
